Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
26	0.325	0.5238082	1.0	-0.1	512.0	-0.015399849	0.034343157	0.085467815	-0.043788638	135000	2.0861625e-08	0.024853986	-0.0028536066	-0.010794026	0.7959875	0.005250444	0.0558	79.0	115.7579619884491
27	0.02	0.3280244	1.0	-0.1	377.4	0.070432045	0.08751242	0.32433417	-0.010531992	140000	2.682209e-08	0.013714634	-0.0023900599	-0.0074355504	0.8059572	0.004965945	0.023	79.0	120.51866722106934
28	0.022222217	0.34569666	1.0	-0.1	403.33334	0.059495386	0.08668113	0.2821771	-0.086264476	145000	3.576279e-08	0.016722621	-0.0029337883	-0.0068547814	0.79821616	0.00551276	0.04	79.0	125.20886468887329
29	0.23999998	0.49839744	1.0	-0.1	438.0	-0.009768883	0.03519823	0.07279842	-0.044972636	150000	1.1920929e-08	0.025804047	-0.0051640235	-0.006233768	0.7859622	0.007687545	0.0742	79.0	129.90541005134583
30	0.37142855	0.54435885	1.0	-0.1	377.57144	0.0044450164	0.09166923	0.26739016	-0.07154375	155000	0.0	0.01560848	-0.0034930483	-0.0061984584	0.78337944	0.005976508	0.0756	79.0	134.84251356124878
31	0.4076923	0.54837036	1.0	-0.1	299.0	0.15875329	0.12666646	0.48503414	-0.02024034	160000	1.7881394e-08	0.045528024	-0.004935042	-0.011722693	0.7869495	0.008316145	0.13399999	79.0	139.5094199180603
32	0.13571428	0.4513585	1.0	-0.1	300.92856	0.027725207	0.10764541	0.3243016	-0.15760666	165000	-3.7252903e-09	0.018676687	-0.0031458796	-0.008712722	0.7864515	0.0036858737	0.044	79.0	144.1687891483307
33	0.2142857	0.49692932	1.0	-0.1	269.57144	0.050102074	0.12958384	0.3615057	-0.10822441	170000	0.0	0.03917041	-0.0037383125	-0.014468754	0.78499115	0.007120212	0.082	79.0	148.79723262786865
34	0.41333336	0.5487764	1.0	-0.1	290.53333	0.03444441	0.09784739	0.242151	-0.10237269	175000	-5.9604646e-09	0.053392895	-0.0026057637	-0.0172768	0.79203445	0.0076876367	0.0906	79.0	153.59883618354797
35	0.11999999	0.43999997	1.0	-0.1	274.06668	0.1202948	0.14584485	0.3668153	-0.04711965	180000	-5.9604646e-09	0.047802262	-0.0031760558	-0.039408337	0.78708804	0.003274595	0.065	79.0	158.62362241744995
36	0.38125	0.5456862	1.0	-0.1	255.4375	0.0961537	0.15517183	0.4382889	-0.088646285	185000	-1.7881394e-08	0.0463128	-0.0044462592	-0.005467415	0.7884604	0.0071720383	0.06999999	79.0	163.5980408191681
37	0.4076923	0.54837036	1.0	-0.1	319.0	0.050822694	0.08263881	0.1811148	-0.19231781	190000	0.0	0.06397127	-0.006269534	-0.027255308	0.7695535	0.007481898	0.0726	79.0	168.35012364387512
38	0.175	0.47631398	1.0	-0.1	341.91666	0.096765295	0.1190046	0.420488	-0.0021376088	195000	1.4901161e-09	0.03143223	-0.0044587017	-0.008567914	0.7597865	0.011941907	0.13659999	79.0	173.2351372241974
39	0.45000002	0.54999995	1.0	-0.1	301.2857	0.07156201	0.10656967	0.3276247	-0.010806661	200000	4.4703485e-09	0.057243954	-0.004227956	-0.015799308	0.7704131	0.00787176	0.110800005	79.0	178.26670289039612
40	0.48235297	0.54904765	1.0	-0.1	264.88235	0.09869187	0.12663196	0.3569178	-0.06522718	205000	5.9604646e-09	0.053365074	-0.0066454844	-0.016530106	0.763603	0.011953526	0.14220001	79.0	182.97385597229004
41	0.5285714	0.54435885	1.0	-0.1	282.85715	0.1397403	0.14902584	0.3954115	-0.032507792	210000	-1.4901161e-09	0.061956536	-0.0057602213	-0.017331412	0.7302592	0.0059682503	0.074	79.0	187.9046552181244
42	0.6526316	0.5113125	1.0	-0.1	231.0	0.16149011	0.13835542	0.41766122	-0.12674133	215000	-5.9604646e-09	0.060854185	-0.0043125316	-0.01512759	0.71100074	0.008775807	0.0752	79.0	192.58149933815002
43	0.61500007	0.52466655	1.0	-0.1	225.3	0.22724701	0.19565167	0.48711577	-0.09961459	220000	1.4901161e-08	0.05823181	-0.0040055537	-0.010381646	0.7023209	0.0067268955	0.0686	79.0	197.301016330719
44	0.39999998	0.5477226	1.0	-0.1	209.54546	0.26442915	0.17494047	0.485783	-0.07169761	225000	-1.4901161e-08	0.09675881	-0.0044745267	-0.054639388	0.7050784	0.0042823465	0.0542	79.0	202.07385897636414
45	0.39499998	0.5472431	1.0	-0.1	214.7	0.21185376	0.14513406	0.46046665	-0.09769304	230000	-1.7881394e-08	0.08164586	-0.0056500137	-0.029288422	0.6914141	0.008764031	0.0766	79.0	207.06557416915894
46	0.7904762	0.4319444	1.0	-0.1	207.90475	0.18260792	0.06457799	0.35412112	-0.0014617369	235000	-5.9604646e-09	0.10118	-0.0045977025	-0.028986732	0.68596804	0.0058773058	0.053799998	79.0	211.9827835559845
47	0.75	0.46097723	1.0	-0.1	202.13637	0.28382087	0.088011816	0.4182867	0.111098096	240000	0.0	0.08377985	-0.0025020405	-0.013781366	0.6894981	0.0062572686	0.043	79.0	216.7568657398224
48	0.58750004	0.53253525	1.0	-0.1	188.41667	0.30607125	0.11594601	0.45147845	-0.07210055	245000	-1.1920929e-08	0.09079676	-0.0041636936	-0.030146912	0.67639816	0.0074028433	0.074	79.0	221.61313343048096
49	0.83076924	0.39688134	1.0	-0.1	172.38461	0.23830356	0.1365232	0.4694111	-0.03019211	250000	1.1920929e-08	0.10359919	-0.0036830425	-0.03798551	0.67009896	0.0038404434	0.052999996	79.0	226.27316999435425
50	0.7344827	0.47071177	1.0	-0.1	162.72414	0.3372708	0.12971143	0.45686442	-0.09576627	255000	-5.9604646e-09	0.07628189	-0.0040609115	-0.01462633	0.6607086	0.003566939	0.052600004	79.0	231.07612419128418
51	0.9266666	0.2743882	1.0	-0.1	153.9	0.32661432	0.12317375	0.494628	-0.17224114	260000	-2.9802323e-09	0.07735668	-0.0032134335	-0.02091589	0.6510587	0.0038471934	0.0356	79.0	236.10637879371643
52	0.9266666	0.27438822	1.0	-0.1	149.06667	0.4869624	0.07851725	0.62992543	0.08218257	265000	2.9802323e-09	0.066446595	-0.003462571	-0.008420728	0.6524607	0.0069127595	0.045199998	79.0	241.04264664649963
53	0.81666666	0.4099458	1.0	-0.1	150.7	0.4338958	0.16168128	0.53764826	-0.25116643	270000	-5.9604646e-09	0.08656746	-0.0035788827	-0.03407347	0.647364	0.0072599635	0.046800002	79.0	245.9282898902893
54	0.93125	0.2662676	1.0	-0.1	145.40625	0.42537978	0.13075693	0.5823558	0.011214782	275000	-1.2665987e-08	0.059080385	-0.0033477764	-0.009957987	0.6310574	0.004024134	0.051200002	79.0	250.7748100757599
55	1.0	0.0	1.0	1.0	141.59375	0.46112832	0.17733672	0.6364761	-0.32910684	280000	2.9802323e-09	0.0835675	-0.0045230915	-0.038568553	0.6222588	0.006175609	0.0486	79.0	255.822918176651
56	0.90571433	0.30793586	1.0	-0.1	132.6	0.5208457	0.05560724	0.58842283	0.23517312	285000	2.0861625e-08	0.062086087	-0.005133138	-0.010317028	0.6158803	0.0066765486	0.070599996	79.0	260.8366758823395
57	0.8472222	0.38041362	1.0	-0.1	125.47222	0.49480498	0.12296446	0.65626335	0.029593226	290000	-5.9604646e-09	0.08906764	-0.0053551113	-0.02991176	0.60496783	0.0056525595	0.083399996	79.0	265.7261972427368
58	1.0	0.0	1.0	1.0	121.128204	0.4710984	0.113963194	0.5986005	-0.13592093	295000	8.195639e-09	0.048037063	-0.0026996895	-0.0114568295	0.59283173	0.003946321	0.0308	79.0	270.68278670310974
59	0.86585367	0.35995242	1.0	-0.1	115.80488	0.5575892	0.105153546	0.6742539	-0.021656787	300000	-2.9802323e-09	0.0631905	-0.005099707	-0.020169776	0.5795362	0.0050439043	0.0576	79.0	275.90832567214966
60	0.83500004	0.39277858	1.0	-0.1	113.275	0.5050925	0.17117965	0.73263186	-0.36465785	305000	1.4901161e-09	0.06342156	-0.0033847117	-0.013287266	0.56116664	0.002635089	0.038999997	79.0	280.6816465854645
61	0.9266666	0.27438822	1.0	-0.1	107.8	0.5390539	0.1427072	0.66725737	-0.28624347	310000	0.0	0.05271246	-0.005357188	-0.012409793	0.56048214	0.0035428521	0.052600004	79.0	285.724817276001
62	0.97380954	0.16770086	1.0	-0.1	107.52381	0.5409174	0.14185947	0.70254296	-0.24998018	315000	-2.9802323e-09	0.048875205	-0.0028684752	-0.008551295	0.5656358	0.0047415323	0.031600002	79.0	290.6474721431732
63	0.9755556	0.16214609	1.0	-0.1	105.8	0.58128065	0.10178899	0.68361276	0.14165746	320000	1.45286325e-08	0.03603632	-0.0041454444	-0.002601007	0.5602076	0.0030749317	0.0476	79.0	295.57379150390625
64	0.9266667	0.2743882	1.0	-0.1	107.64445	0.55964476	0.1339852	0.7494911	-0.0045402423	325000	8.940697e-09	0.042238846	-0.0028016723	-0.003658758	0.5514046	0.004689217	0.0262	79.0	300.3565514087677
65	0.9511111	0.22668846	1.0	-0.1	105.111115	0.57430804	0.13238025	0.77544993	-0.10735935	330000	1.3411045e-08	0.050228667	-0.0050312006	-0.0060513755	0.55634177	0.006070572	0.049000002	79.0	305.4116702079773
66	0.9521739	0.22432424	1.0	-0.1	102.565216	0.5865191	0.10977185	0.70010525	0.0799683	335000	1.1175871e-09	0.043349374	-0.005777576	-0.0056354543	0.53864396	0.0063011968	0.0602	79.0	310.25866532325745
67	1.0	0.0	1.0	1.0	98.63265	0.57993025	0.10586738	0.71717936	0.061114565	340000	0.0	0.033190213	-0.0033962436	-0.00691412	0.5283686	0.0029020263	0.0328	79.0	315.45822525024414
68	1.0	0.0	1.0	1.0	100.38298	0.61566055	0.08612681	0.71311766	0.27450004	345000	-7.450581e-09	0.027522136	-0.0032531754	-0.0007490016	0.5174333	0.003477259	0.0412	79.0	320.6514801979065
69	1.0	0.0	1.0	1.0	97.854164	0.6284417	0.09259073	0.74598336	0.25167257	350000	-8.195639e-09	0.026892405	-0.0032474664	-0.00066709035	0.5041898	0.0044947965	0.0366	79.0	325.5576093196869
70	0.91020405	0.30118465	1.0	-0.1	97.0	0.6258203	0.09550414	0.71735126	0.25468406	355000	-2.9802323e-09	0.057098396	-0.0050407657	-0.014676449	0.50324184	0.005779314	0.044200003	79.0	330.50659108161926
71	0.932653	0.2637158	1.0	-0.1	98.97959	0.59832317	0.13691086	0.7359223	0.008093152	360000	5.9604646e-09	0.06517631	-0.0069119423	-0.016852621	0.496502	0.009046227	0.072799996	79.0	335.5492014884949
72	0.97800004	0.154	1.0	-0.1	93.86	0.62152404	0.11051667	0.72496414	0.059985414	365000	1.7881394e-08	0.033619713	-0.0028441981	-0.0029575	0.49824023	0.0053510373	0.0244	79.0	340.43829321861267
73	1.0	0.0	1.0	1.0	94.1	0.6228557	0.10310348	0.72001207	0.16347227	370000	6.7055224e-09	0.027010534	-0.0034027225	-0.0026462662	0.5075138	0.0030282964	0.035800003	79.0	345.62820959091187
74	1.0	0.0	1.0	1.0	91.78846	0.6465732	0.08893123	0.7273538	0.24790074	375000	-1.0058284e-08	0.02357078	-0.0045463224	-0.00039862393	0.49752006	0.0039316947	0.046	79.0	350.7571790218353
75	1.0	0.0	1.0	1.0	91.03846	0.64814013	0.08932329	0.7154683	0.25893524	380000	8.195639e-09	0.023974609	-0.003697202	-0.0003786493	0.49280244	0.004006152	0.041399997	79.0	355.925101518631
76	1.0	0.0	1.0	1.0	90.05556	0.6417556	0.09073408	0.7103079	0.26127005	385000	4.842877e-09	0.022886757	-0.0033643492	-0.00039124265	0.48207292	0.0031324644	0.036	79.0	360.9117844104767
